--------- beginning of main
06-07 15:10:40.884 15250 15250 D BluetoothGatt: close()
06-07 15:10:40.885 15250 15250 D BluetoothGatt: unregisterApp() - mClientIf=109
06-07 15:10:41.003 15250 15250 D BluetoothGatt: close()
06-07 15:10:41.004 15250 15250 D BluetoothGatt: unregisterApp() - mClientIf=110
06-07 15:10:41.312 14908 14908 D BluetoothGatt: connect() - device: XX:XX:XX:XX:F1:F2, auto: false
06-07 15:10:41.312 14908 14908 D BluetoothGatt: registerApp()
06-07 15:10:41.313 14908 14908 D BluetoothGatt: registerApp() - UUID=f1e11356-39b2-46c3-ab23-4a267986a2e4
06-07 15:10:41.315 14908 14922 D BluetoothGatt: onClientRegistered() - status=0 clientIf=115
06-07 15:10:41.358 15250 15250 D BluetoothGatt: close()
06-07 15:10:41.358 15250 15250 D BluetoothGatt: unregisterApp() - mClientIf=111
06-07 15:10:41.550 15341 15517 W BtGatt.GattService: pkgName : com.gddai.lioncheck
06-07 15:10:41.550 14908 14921 D BluetoothGatt: onClientConnectionState() - status=0 clientIf=115 connected=true device=XX:XX:XX:XX:F1:F2
06-07 15:10:41.551 14908 14921 D BluetoothGatt: discoverServices() - device: XX:XX:XX:XX:F1:F2
06-07 15:10:42.052 14908 15071 D BluetoothGatt: onSearchComplete() = address=XX:XX:XX:XX:F1:F2 status=0
06-07 15:10:42.054 14908 15274 D BluetoothGatt: setCharacteristicNotification() - uuid: 0000fff4-0000-1000-8000-00805f9b34fb enable: true
06-07 15:10:42.055 14908 15274 W BluetoothGatt: readCharacteristic() -prior command is not finished, mClient= 115
06-07 15:10:42.055 14908 15274 D BluetoothGatt: setCharacteristicNotification() - uuid: 0000fff4-0000-1000-8000-00805f9b34fb enable: true
06-07 15:10:42.056 14908 15274 W BluetoothGatt: writeDescriptor() - prior command is not finished, mClient= 115
06-07 15:10:42.126 15250 15250 D BluetoothGatt: connect() - device: XX:XX:XX:XX:BE:7A, auto: true
06-07 15:10:42.127 15250 15250 D BluetoothGatt: registerApp()
06-07 15:10:42.127 15250 15250 D BluetoothGatt: registerApp() - UUID=9ade0e00-fc13-4ffc-81db-1f284c35bdc9
06-07 15:10:42.129 15250  8075 D BluetoothGatt: onClientRegistered() - status=0 clientIf=116
06-07 15:10:42.180 15250 15250 D BluetoothGatt: connect() - device: XX:XX:XX:XX:4D:09, auto: true
06-07 15:10:42.180 15250 15250 D BluetoothGatt: registerApp()
06-07 15:10:42.180 15250 15250 D BluetoothGatt: registerApp() - UUID=476f5759-53ee-4099-9de7-a7997ff653b8
06-07 15:10:42.182 15250  8075 D BluetoothGatt: onClientRegistered() - status=0 clientIf=117
06-07 15:10:42.406 15250 15250 D BluetoothGatt: connect() - device: XX:XX:XX:XX:31:3E, auto: true
06-07 15:10:42.406 15250 15250 D BluetoothGatt: registerApp()
06-07 15:10:42.406 15250 15250 D BluetoothGatt: registerApp() - UUID=d38330a4-a6fb-497b-912b-7fe0f5891836
06-07 15:10:42.408 15250  8075 D BluetoothGatt: onClientRegistered() - status=0 clientIf=118
06-07 15:10:42.808 14908 14928 D BluetoothGatt: readRssi() - device: XX:XX:XX:XX:F1:F2
06-07 15:10:43.145 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.251 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.296 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.340 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.385 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.402 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.431 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.475 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.491 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.519 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.566 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.582 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.611 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.657 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.700 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.744 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.762 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.789 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.808 14908 14928 D BluetoothGatt: readRssi() - device: XX:XX:XX:XX:F1:F2
06-07 15:10:43.834 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.851 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.879 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.930 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.940 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
06-07 15:10:43.969 15341 15517 I BtGatt.GattService: onWriteCharacteristic() - address=XX:XX:XX:XX:F1:F2, status=0, length=8
